id_cliente,nombre_cliente,tipo_cliente,num_compras,total_gastado,ticket_promedio,vehiculos_comprados,compra_maxima
1965,benjamin moreno cruz,empresarial,2,258252.0,129126.0,2,143323.0
531,laura cifuentes perez,potencial,2,256159.0,128079.5,2,139681.0
1911,carolina herrera herrera,recurrente,2,242327.0,121163.5,2,129617.0
1082,claudia cifuentes espana,potencial,2,237151.0,118575.5,2,132385.0
1020,alejandro ospina perez,vip,2,235380.0,117690.0,2,128202.0
716,laura herrera ospina,recurrente,2,229486.0,114743.0,2,123233.0
908,jesus cardenas cifuentes,recurrente,2,228327.0,114163.5,2,141469.0
1121,carolina rios rios,vip,2,220670.0,110335.0,2,144864.0
1179,laura perez sanchez,vip,2,216066.0,108033.0,2,139914.0
4,hernan herrera alvarez,vip,2,215794.0,107897.0,2,125390.0
1086,claudia espania herrera,empresarial,2,214291.0,107145.5,2,134319.0
1821,daniela ramirez niniez,nuevo,2,212484.0,106242.0,2,112022.0
432,claudia alvarez perez,empresarial,2,210293.0,105146.5,2,121610.0
336,mauricio cruz moreno,recurrente,2,209442.0,104721.0,2,156162.0
411,sofia fernandez moreno,potencial,2,201455.0,100727.5,2,123334.0
1476,carolina perez niniez,empresarial,2,201400.0,100700.0,2,129145.0
772,laura martinez rios,vip,2,200624.0,100312.0,2,132224.0
329,benjamin toro niniez,nuevo,2,194710.0,97355.0,2,105665.0
425,jesus martinez castanio,potencial,2,191981.0,95990.5,2,126419.0
990,camilo rodriguez herrera,vip,2,187891.0,93945.5,2,128135.0
