id_vendedor,nombre_vendedor,experiencia_anios,sucursal,ventas_realizadas,ingresos_generados,ticket_promedio,comision_total,clientes_atendidos
9.0,Diego López,10.0,Sucursal Centro,17,1110690.2,65334.717647058824,0,16
1.0,Camila Sánchez,1.0,Sucursal Oriente,15,970037.5,64669.166666666664,0,14
34.0,Juan García,2.0,Sucursal Norte,14,849145.25,60653.232142857145,0,13
12.0,Diego Ramírez,1.0,Sucursal Centro,12,839957.5,69996.45833333333,0,11
50.0,Camila López,1.0,Sucursal Norte,14,791376.6,56526.9,0,14
42.0,Sofía Sánchez,14.0,Sucursal Norte,14,761648.9500000001,54403.49642857143,0,13
49.0,Ana García,14.0,Sucursal Norte,12,749761.8,62480.15,0,12
14.0,Camila López,7.0,Sucursal Centro,11,734742.5,66794.77272727272,0,11
20.0,María Sánchez,2.0,Sucursal Norte,11,727109.5,66100.86363636363,0,11
31.0,Laura Sánchez,4.0,Sucursal Principal,11,726556.25,66050.56818181818,0,11
21.0,Diego Rodríguez,4.0,Sucursal Centro,11,715619.55,65056.32272727273,0,11
43.0,Camila Pérez,15.0,Sucursal Norte,12,710869.65,59239.137500000004,0,12
29.0,Ana Pérez,2.0,Sucursal Centro,10,700428.1,70042.81,0,10
36.0,Juan Sánchez,4.0,Sucursal Centro,12,699672.8,58306.06666666667,0,12
48.0,Sofía González,7.0,Sucursal Autopista,12,699056.75,58254.729166666664,0,12
10.0,María López,8.0,Sucursal Norte,11,693797.4,63072.49090909091,0,10
2.0,Luis López,6.0,Sucursal Principal,10,683950.0,68395.0,0,10
13.0,Diego Pérez,15.0,Sucursal Norte,10,669502.75,66950.275,0,10
37.0,Carlos Martínez,4.0,Sucursal Norte,11,661591.95,60144.722727272725,0,11
49.0,Ana García,14.0,Sucursal Centro,11,656158.15,59650.74090909091,0,11
36.0,Juan Sánchez,4.0,Sucursal Norte,10,629343.85,62934.384999999995,0,9
7.0,Camila Sánchez,11.0,Sucursal Principal,10,628941.7,62894.17,0,10
