id_vendedor,nombre_vendedor,experiencia,sucursal,ventas_realizadas,ingresos_generados,ticket_promedio,comision_total,clientes_atendidos
327,hernan cardenas,16,sucursal norte,3,311825.0,103941.66666666667,6726.88,3
229,julian moreno,0,sucursal autopista,2,279094.0,139547.0,3159.29,2
370,veronica moreno,14,sucursal industrial,3,271981.0,90660.33333333333,5516.4800000000005,3
18,daniela gutierrez,1,sucursal sur,2,271750.0,135875.0,3450.79,2
81,laura herrera,5,sucursal autopista,2,266667.0,133333.5,7336.6,2
422,felipe toro,23,sucursal norte,2,263766.0,131883.0,6668.98,2
318,diego cardenas,0,sucursal norte,2,253980.0,126990.0,6062.58,2
89,mauricio cruz,18,sucursal centro,2,249018.0,124509.0,5559.96,2
310,angela rios,19,sucursal centro,2,248366.0,124183.0,4861.89,2
114,sebastian pena,10,sucursal autopista,2,246750.0,123375.0,2916.25,2
596,claudia fernandez,1,sucursal centro,2,246357.0,123178.5,5663.15,2
385,patricia munoz,5,sucursal sur,3,244767.0,81589.0,2181.5299999999997,3
82,mauricio rodriguez,8,sucursal industrial,4,243859.0,60964.75,6924.24,4
234,ricardo dominguez,20,sucursal industrial,3,241827.0,80609.0,10185.64,3
266,mauricio moreno,0,sucursal centro,2,240610.0,120305.0,2956.6499999999996,2
166,sofia vargas,9,sucursal norte,2,236147.0,118073.5,5471.59,2
558,angela ramirez,13,sucursal aeropuerto,2,233934.0,116967.0,3281.75,2
324,julian herrera,21,sucursal centro,3,231971.0,77323.66666666667,6351.42,3
93,valentina rios,5,sucursal occidente,2,231045.0,115522.5,4702.5,2
466,ricardo cruz,25,sucursal industrial,2,230786.0,115393.0,1817.06,2
215,carolina sanchez,14,sucursal principal,3,229952.0,76650.66666666667,7527.46,3
237,diego herrera,24,sucursal sur,2,228666.0,114333.0,6485.469999999999,2
197,alejandro garcia,21,sucursal aeropuerto,2,221906.0,110953.0,3436.6099999999997,2
63,daniela munioz,6,sucursal industrial,2,221226.0,110613.0,3667.31,2
93,valentina rios,5,sucursal centro,2,219188.0,109594.0,4965.719999999999,2
205,ricardo lopez,0,sucursal aeropuerto,2,219183.0,109591.5,3005.83,2
287,natalia rios,0,sucursal occidente,4,218352.0,54588.0,5782.22,4
514,jose cruz,16,sucursal el poblado,2,213133.0,106566.5,4389.71,2
397,hernan gonzalez,8,sucursal aeropuerto,3,212696.0,70898.66666666667,10176.22,3
379,felipe cardenas,12,sucursal norte,2,212388.0,106194.0,1626.3,2
301,alvaro herrera,4,sucursal sur,2,211100.0,105550.0,4613.8,2
1,raul ramirez,0,sucursal occidente,2,210825.0,105412.5,3367.3199999999997,2
216,veronica cardenas,11,sucursal aeropuerto,2,208477.0,104238.5,1661.54,2
509,laura alvarez,21,sucursal oriente,2,206760.0,103380.0,1948.51,2
118,alejandro alvarez,8,sucursal calle 80,2,194338.0,97169.0,4055.1800000000003,2
152,sofia garcia,19,sucursal el poblado,2,193870.0,96935.0,3753.79,2
122,jose perez,25,sucursal aeropuerto,2,191690.0,95845.0,3676.7999999999997,2
30,hernan moreno,1,sucursal centro,2,190928.0,95464.0,3379.71,2
345,ricardo gutierrez,20,sucursal principal,2,188966.0,94483.0,3949.65,2
116,andres sanchez,1,sucursal calle 80,2,188946.0,94473.0,1097.01,2
296,angela cifuentes,3,sucursal principal,2,187453.0,93726.5,1922.05,2
496,alvaro dominguez,14,sucursal principal,2,186969.0,93484.5,5353.62,2
526,patricia espana,25,sucursal aeropuerto,2,186316.0,93158.0,4443.77,2
504,natalia martinez,12,sucursal carrera 7,2,182996.0,91498.0,5168.36,2
47,laura cruz,23,sucursal el poblado,2,180745.0,90372.5,,2
571,diego sanchez,0,sucursal centro,2,180480.0,90240.0,4430.05,2
135,angela ospina,21,sucursal aeropuerto,2,179574.0,89787.0,1782.28,2
213,jesus munioz,12,sucursal industrial,2,179238.0,89619.0,5277.75,2
412,patricia rios,14,sucursal autopista,2,178995.0,89497.5,3638.1900000000005,2
457,mauricio lopez,15,sucursal el poblado,2,178112.0,89056.0,2829.8199999999997,2
269,patricia fernandez,3,sucursal sur,2,177592.0,88796.0,3524.36,2
163,claudia vargas,0,sucursal calle 80,2,177282.0,88641.0,3489.52,2
65,natalia moreno,12,sucursal centro,2,177182.0,88591.0,5592.15,2
190,patricia garcia,0,sucursal aeropuerto,2,175363.0,87681.5,3213.8500000000004,2
71,alvaro martinez,25,sucursal el poblado,2,175175.0,87587.5,3029.07,2
66,angela perez,2,sucursal aeropuerto,2,174222.0,87111.0,3695.19,2
423,mauricio herrera,16,sucursal centro,2,172145.0,86072.5,4572.76,2
142,monica ospina,18,sucursal principal,2,168603.0,84301.5,4536.06,2
5,patricia moreno,15,sucursal aeropuerto,2,167211.0,83605.5,5399.51,2
687,julian gutierrez,1,sucursal sur,1,165878.0,165878.0,3582.4,1
255,carolina ospina,10,sucursal sur,2,163293.0,81646.5,4813.93,2
227,angela dominguez,4,sucursal industrial,1,163285.0,163285.0,5206.27,1
671,veronica perez,0,sucursal oriente,1,162565.0,162565.0,5518.0,1
265,daniela gonzalez,14,sucursal occidente,2,162515.0,81257.5,3263.3599999999997,2
441,hernan toro,18,sucursal principal,2,162486.0,81243.0,2409.87,2
605,benjamin ninez,14,sucursal aeropuerto,1,160546.0,160546.0,2006.93,1
249,jesus martinez,4,sucursal sur,1,160201.0,160201.0,3828.78,1
246,claudia cifuentes,15,sucursal aeropuerto,1,160146.0,160146.0,1469.32,1
40,benjamin penia,6,sucursal occidente,2,159989.0,79994.5,3446.9100000000003,2
132,natalia ramirez,0,sucursal oriente,3,159877.0,79938.5,5354.81,3
144,felipe gonzalez,23,sucursal aeropuerto,1,159662.0,159662.0,4262.7,1
652,daniela rodriguez,8,sucursal centro,1,159528.0,159528.0,4100.69,1
202,alvaro cardenas,22,sucursal centro,2,159485.0,79742.5,1324.42,2
563,felipe garcia,22,sucursal centro,1,158847.0,158847.0,3217.5,1
641,alejandro castano,0,sucursal principal,1,158648.0,158648.0,4100.64,1
455,hernan castanio,0,sucursal calle 80,1,158483.0,158483.0,2211.45,1
99,natalia vargas,23,sucursal autopista,2,157725.0,78862.5,3226.39,2
43,raul sanchez,0,sucursal carrera 7,1,157605.0,157605.0,2801.96,1
92,hernan ramirez,11,sucursal sur,1,155586.0,155586.0,3745.61,1
470,daniela toro,2,sucursal centro,2,155287.0,77643.5,2446.0499999999997,2
253,natalia ospina,0,sucursal occidente,1,154807.0,154807.0,2927.92,1
89,mauricio cruz,18,sucursal oriente,3,154699.0,51566.333333333336,4824.82,3
92,hernan ramirez,11,sucursal oriente,2,154607.0,77303.5,2928.2,2
38,camilo alvarez,7,sucursal carrera 7,1,154262.0,154262.0,1597.69,1
634,hernan rodriguez,7,sucursal el poblado,1,154246.0,154246.0,4545.25,1
255,carolina ospina,10,sucursal calle 80,1,154141.0,154141.0,,1
483,valentina perez,3,sucursal autopista,1,153424.0,153424.0,,1
371,patricia ramirez,8,sucursal principal,2,153171.0,76585.5,1937.3200000000002,2
221,daniela vargas,10,sucursal sur,1,153056.0,153056.0,2668.62,1
503,diego pena,21,sucursal industrial,1,152946.0,152946.0,,1
368,benjamin rios,7,sucursal sur,1,152806.0,152806.0,3007.18,1
148,camilo dominguez,25,sucursal sur,2,152572.0,76286.0,6086.31,2
348,benjamin garcia,20,sucursal centro,2,152156.0,76078.0,3969.65,2
696,sofia fernandez,0,sucursal aeropuerto,1,152014.0,152014.0,1436.76,1
92,hernan ramirez,11,sucursal industrial,3,151911.0,50637.0,3370.58,3
341,angela moreno,22,sucursal sur,1,151738.0,151738.0,1954.47,1
127,paola garcia,0,sucursal oriente,2,151551.0,75775.5,3365.0299999999997,2
616,monica gonzalez,14,sucursal industrial,1,151373.0,151373.0,2021.13,1
348,benjamin garcia,20,sucursal norte,1,150489.0,150489.0,3436.43,1
364,maria ninez,17,sucursal principal,2,150423.0,75211.5,5065.67,2
245,andres rios,11,sucursal centro,1,149956.0,149956.0,2442.53,1
140,raul garcia,18,sucursal carrera 7,1,149922.0,149922.0,3665.23,1
87,alejandro vargas,2,sucursal industrial,1,149808.0,149808.0,3123.14,1
397,hernan gonzalez,8,sucursal autopista,1,149709.0,149709.0,2052.57,1
592,carolina espana,20,sucursal principal,1,149670.0,149670.0,3397.04,1
135,angela ospina,21,sucursal autopista,2,149622.0,74811.0,1164.61,2
537,jose garcia,4,sucursal occidente,1,149601.0,149601.0,2139.72,1
472,mauricio penia,20,sucursal oriente,1,149411.0,149411.0,,1
559,monica herrera,8,sucursal norte,2,149369.0,74684.5,1001.43,2
25,natalia perez,3,sucursal norte,2,149235.0,74617.5,3113.48,2
105,hernan herrera,17,sucursal industrial,1,149079.0,149079.0,4782.51,1
402,camilo lopez,15,sucursal occidente,2,149052.0,74526.0,3855.77,2
375,camilo cardenas,6,sucursal oriente,2,149005.0,74502.5,603.41,2
252,hernan fernandez,15,sucursal el poblado,2,148954.0,74477.0,2462.86,2
460,daniela herrera,3,sucursal carrera 7,1,148434.0,148434.0,4422.47,1
307,laura martinez,7,sucursal oriente,1,147932.0,147932.0,4347.71,1
131,camilo toro,21,sucursal occidente,1,147468.0,147468.0,1231.54,1
489,claudia ninez,8,sucursal autopista,1,147401.0,147401.0,2668.75,1
106,maria sanchez,10,sucursal aeropuerto,1,147294.0,147294.0,,1
77,patricia sanchez,13,sucursal norte,1,146450.0,146450.0,5070.5,1
339,diego cifuentes,16,sucursal centro,1,146449.0,146449.0,4304.32,1
586,sofia perez,7,sucursal centro,1,146401.0,146401.0,1960.19,1
554,sofia cardenas,0,sucursal oriente,1,146268.0,146268.0,1311.7,1
1,raul ramirez,0,sucursal industrial,2,146132.0,73066.0,897.25,2
618,maria garcia,10,sucursal calle 80,1,145825.0,145825.0,3287.84,1
415,sebastian toro,18,sucursal el poblado,2,145797.0,72898.5,3136.69,2
155,laura dominguez,0,sucursal industrial,1,145718.0,145718.0,2541.83,1
6,julian ospina,5,sucursal centro,1,145239.0,145239.0,2204.61,1
454,alvaro cruz,2,sucursal aeropuerto,1,144764.0,144764.0,1461.67,1
