id_cliente,nombre,edad,genero,tipo_cliente,email,id_ciudad
795,María Fernandez Castano,28,M,nuevo,maria270@correo.co,5.0
520,Alvaro CASTAÑO NIÑEZ,39,M,nuevo,alvarocastano@gmail.com,10.0
235,Jesus España GARCÍA,72,M,nuevo,jesus100@outlook.com,4.0
389,Jose Sanchez Lopez,66,M,nuevo,no identificado,9.0
358,Jesus Espana Fernández,41,M,nuevo,email_invalido,
367,ANDRÉS Niñez Fernandez,25,M,recurrente,andresninez@outlook.com,999.0
747,ÁNGELA Sánchez Alvarez,36,M,recurrente,angela322@gmail.com,10.0
204,Bárbara Garcia GARCÍA,39,M,nuevo,cliente204@correo.co,2.0
425,Gabriela Martinez Domínguez,42,M,empresarial,cliente425@correo.co,999.0
259,JESÚS PÉREZ García,41,M,recurrente,jesusperez@hotmail.com,6.0
444,Estefania NIÑEZ España,49,M,empresarial,estefania873@hotmail.com,7.0
567,RAÚL MARTÍNEZ Sanchez,48,M,nuevo,raul974@hotmail.com,999.0
76,MARÍA Gonzalez González,59,M,empresarial,email_invalido,4.0
450,Alvaro PÉREZ Munoz,70,M,nuevo,email_invalido,5.0
641,Julián Pena GARCÍA,50,M,nuevo,julian.pena@correo.co,999.0
153,Julian Dominguez PÉREZ,20,M,nuevo,juliandominguez@outlook.com,9.0
101,ÁLVARO Perez González,40,M,empresarial,alvaroperez@hotmail.com,1.0
621,Noelia Castaño ESPAÑA,43,M,recurrente,noelia.castano@gmail.com,6.0
111,INÉS PÉREZ Garcia,59,M,nuevo,email_invalido,10.0
71,Verónica Fernández Alvarez,76,M,recurrente,veronicafernandez@gmail.com,999.0
391,RAÚL LÓPEZ Perez,40,M,recurrente,raul.lopez@hotmail.com,
118,Monica ÁLVAREZ FERNÁNDEZ,35,M,vip,no identificado,10.0
47,Inés Sánchez Álvarez,65,M,nuevo,no identificado,
64,Julian RODRÍGUEZ Peña,45,M,recurrente,no identificado,9.0
232,Barbara González RODRÍGUEZ,53,M,recurrente,barbara.gonzalez@hotmail.com,
461,Raul González Castaño,75,M,nuevo,no identificado,
299,Gabriela García ÁLVAREZ,52,M,nuevo,gabriela.garcia@outlook.com,7.0
280,Alvaro Pena MARTÍNEZ,56,M,empresarial,alvaropena@yahoo.es,
620,Barbara Ninez Perez,25,M,nuevo,bninez@outlook.com,2.0
627,Jesus RODRÍGUEZ LÓPEZ,57,M,empresarial,jesusrodriguez@yahoo.es,8.0
667,Andres PEÑA ÁLVAREZ,64,M,nuevo,cliente667@outlook.com,1.0
93,Benjamín Domínguez PÉREZ,27,M,nuevo,no identificado,6.0
726,Patricio Perez Castano,60,M,nuevo,cliente726@correo.co,
625,Noelia FERNÁNDEZ Fernandez,39,M,empresarial,noelia295@gmail.com,999.0
489,Andres Pena LÓPEZ,72,M,nuevo,andrespena@outlook.com,999.0
144,Noelia Martínez Espana,53,M,vip,nmartinez@outlook.com,7.0
120,Andres Muñoz ÁLVAREZ,52,M,empresarial,andres.munoz@correo.co,
475,Veronica Sánchez Domínguez,45,M,nuevo,veronica.sanchez@gmail.com,8.0
714,Gabriela Sanchez González,62,M,empresarial,gabriela.sanchez@correo.co,9.0
478,Veronica Ninez Martinez,49,M,vip,veronica.ninez@yahoo.es,
685,Maria Peña GARCÍA,42,M,empresarial,no identificado,4.0
580,Álvaro España Domínguez,55,M,nuevo,cliente580@gmail.com,10.0
275,BÁRBARA Sánchez MUÑOZ,48,M,nuevo,no identificado,7.0
110,Barbara Lopez GARCÍA,37,M,recurrente,blopez@outlook.com,
460,NOELIA ÁLVAREZ SÁNCHEZ,68,M,nuevo,nalvarez@correo.co,7.0
24,ÁNGELA Niñez RODRÍGUEZ,55,M,nuevo,angela756@correo.co,4.0
429,Barbara Álvarez Sanchez,46,M,vip,email_invalido,9.0
270,Estefanía Castano Castaño,65,M,recurrente,ecastano@yahoo.es,4.0
749,JULIÁN Ninez Niñez,61,M,recurrente,no identificado,9.0
711,Bárbara Perez Rodríguez,56,M,recurrente,barbara577@gmail.com,2.0
507,Benjamin RODRÍGUEZ FERNÁNDEZ,64,M,empresarial,benjamin.rodriguez@hotmail.com,2.0
123,JOSÉ Muñoz González,72,M,recurrente,jmunoz@gmail.com,
330,INÉS Sanchez Espana,44,M,nuevo,email_invalido,2.0
718,Estefanía PÉREZ Muñoz,38,M,nuevo,estefaniaperez@outlook.com,9.0
267,Sofia GARCÍA SÁNCHEZ,20,M,nuevo,sofia.garcia@hotmail.com,9.0
63,Jesús Lopez Sánchez,62,M,empresarial,email_invalido,9.0
556,Patricio González Pérez,62,M,recurrente,patriciogonzalez@yahoo.es,4.0
790,Maria GONZÁLEZ Álvarez,42,M,nuevo,mgonzalez@gmail.com,10.0
670,Sofia Álvarez España,71,M,nuevo,sofia.alvarez@gmail.com,2.0
775,Ines DOMÍNGUEZ Garcia,27,M,nuevo,inesdominguez@correo.co,9.0
293,Veronica Espana Martinez,74,M,nuevo,email_invalido,8.0
378,JULIÁN Domínguez SÁNCHEZ,47,M,vip,cliente378@gmail.com,1.0
524,ESTEFANÍA DOMÍNGUEZ Ninez,48,M,nuevo,cliente524@gmail.com,5.0
228,Estefania Fernandez Munoz,58,M,nuevo,estefania.fernandez@hotmail.com,6.0
15,ÁNGELA Peña Castaño,56,M,nuevo,angela67@gmail.com,1.0
486,BÁRBARA FERNÁNDEZ Muñoz,24,M,nuevo,barbarafernandez@gmail.com,5.0
298,Estefania Pena NIÑEZ,25,M,recurrente,estefaniapena@correo.co,2.0
686,ÁNGELA DOMÍNGUEZ DOMÍNGUEZ,68,M,nuevo,adominguez@outlook.com,2.0
350,Estefanía Castano Garcia,26,M,vip,ecastano@hotmail.com,
521,Sofía MUÑOZ Álvarez,45,M,nuevo,cliente521@correo.co,2.0
294,Mónica GONZÁLEZ Castano,28,M,recurrente,monica524@yahoo.es,999.0
612,MARÍA PEÑA ESPAÑA,46,M,recurrente,email_invalido,5.0
792,VERÓNICA Domínguez García,46,M,empresarial,email_invalido,
765,BENJAMÍN Pena PEÑA,57,M,nuevo,bpena@correo.co,3.0
776,Raúl González PÉREZ,74,M,nuevo,rgonzalez@gmail.com,10.0
217,Barbara GONZÁLEZ GONZÁLEZ,61,M,recurrente,barbaragonzalez@gmail.com,2.0
536,Raúl NIÑEZ Sánchez,27,M,recurrente,cliente536@yahoo.es,3.0
697,Benjamin PEÑA FERNÁNDEZ,56,M,empresarial,benjamin802@hotmail.com,8.0
200,MARÍA PEÑA ÁLVAREZ,46,M,vip,email_invalido,4.0
698,Julián Espana Álvarez,41,M,nuevo,email_invalido,5.0
56,Raul PEÑA Sánchez,42,M,nuevo,raulpena@correo.co,9.0
512,BÁRBARA ESPAÑA CASTAÑO,47,M,nuevo,barbara.espana@hotmail.com,
647,Benjamín Castaño España,71,M,empresarial,benjamin.castano@yahoo.es,6.0
562,JULIÁN González MUÑOZ,23,M,recurrente,julian.gonzalez@outlook.com,10.0
140,Patricio RODRÍGUEZ Ninez,46,M,nuevo,patricio.rodriguez@gmail.com,999.0
485,Benjamin Niñez LÓPEZ,32,M,empresarial,benjamin885@hotmail.com,
751,Andres Garcia MUÑOZ,67,M,recurrente,cliente751@yahoo.es,3.0
45,Bárbara González Castaño,53,M,nuevo,barbara.gonzalez@correo.co,8.0
107,SOFÍA Pena GONZÁLEZ,27,M,vip,cliente107@correo.co,6.0
239,Mónica PEÑA Lopez,32,M,recurrente,cliente239@gmail.com,
313,Julian Pérez GARCÍA,49,M,nuevo,cliente313@yahoo.es,9.0
195,Patricio Perez Sanchez,76,M,nuevo,pperez@correo.co,3.0
430,Patricio Lopez MUÑOZ,57,M,empresarial,patricio904@outlook.com,3.0
768,Estefanía Espana Garcia,47,M,vip,estefaniaespana@yahoo.es,999.0
12,Andres Muñoz Lopez,42,M,nuevo,andresmunoz@yahoo.es,5.0
