id_vendedor,nombre,experiencia_años,id_sucursal
1.0,angela munoz,22,15
2.0,claudia ramirez,0,7
3.0,jose rios,25,34
4.0,patricia ramirez,0,31
5.0,alejandro vargas,2,7
6.0,angela vargas,4,15
7.0,jesus garcia,2,25
8.0,raul castanio,7,17
9.0,camilo herrera,23,6
10.0,natalia lopez,21,20
11.0,sofia garcia,19,34
12.0,julian fernandez,1,28
13.0,daniela penia,22,35
14.0,diego espania,8,23
15.0,camilo munioz,9,28
16.0,ricardo castanio,8,25
17.0,alvaro penia,14,9
18.0,paola cruz,6,22
19.0,paola perez,0,4
20.0,alejandro moreno,0,7
21.0,patricia perez,7,21
22.0,angela munioz,9,10
23.0,natalia garcia,14,33
24.0,angela espania,20,18
25.0,alvaro cardenas,23,2
26.0,alejandro toro,3,34
27.0,carolina sanchez,3,13
28.0,paola sanchez,8,30
29.0,angela herrera,0,32
30.0,julian dominguez,18,1
31.0,sebastian sanchez,8,6
32.0,angela fernandez,17,1
33.0,paola toro,20,24
34.0,claudia alvarez,10,27
35.0,carolina martinez,21,15
36.0,laura perez,19,30
37.0,monica munioz,22,10
38.0,paola garcia,17,26
39.0,alejandro munoz,7,1
40.0,alvaro sanchez,24,30
41.0,mauricio dominguez,15,6
42.0,mauricio rodriguez,20,27
43.0,natalia cruz,5,19
44.0,andres gonzalez,22,21
45.0,carolina toro,7,1
46.0,jesus dominguez,17,26
47.0,camilo munioz,0,18
48.0,laura espana,11,31
49.0,ricardo cardenas,3,33
50.0,ricardo ramirez,23,24
51.0,angela cruz,19,34
52.0,carolina ospina,1,21
53.0,carolina martinez,5,5
54.0,jose martinez,11,30
55.0,angela niniez,18,2
56.0,natalia pena,23,10
57.0,angela castanio,1,8
58.0,mauricio espana,12,12
59.0,sebastian cardenas,4,19
60.0,jesus cardenas,9,23
61.0,alejandro gonzalez,14,25
62.0,paola penia,2,22
63.0,julian gutierrez,18,34
64.0,jose alvarez,2,30
65.0,daniela penia,12,6
66.0,felipe toro,0,6
67.0,benjamin cifuentes,14,18
68.0,daniela castanio,2,28
69.0,monica gonzalez,1,21
70.0,patricia pena,7,7
71.0,alvaro perez,0,11
72.0,hernan dominguez,18,5
73.0,andres castano,18,4
74.0,hernan niniez,9,15
75.0,benjamin martinez,17,16
76.0,andres munioz,4,5
77.0,alvaro rios,14,21
78.0,patricia sanchez,2,18
79.0,angela munioz,16,31
80.0,maria gutierrez,16,33
81.0,laura penia,4,5
82.0,alejandro toro,3,13
83.0,ricardo cardenas,18,25
84.0,daniela cifuentes,16,10
85.0,paola garcia,14,18
86.0,felipe martinez,11,13
87.0,claudia cardenas,0,20
88.0,ricardo rodriguez,12,25
89.0,benjamin gonzalez,8,23
90.0,sofia penia,24,11
91.0,jesus cardenas,4,16
92.0,monica lopez,25,3
93.0,jesus dominguez,24,1
94.0,claudia gonzalez,7,32
95.0,alvaro sanchez,22,25
96.0,maria garcia,16,13
97.0,alejandro ninez,20,19
98.0,raul herrera,15,28
99.0,ricardo cruz,5,27
100.0,monica lopez,11,4
