id_vendedor,nombre,experiencia_años,id_sucursal
1,raul martinez,16,2
2,daniela toro,14,3
3,alejandro munioz,5,2
4,valentina moreno,8,3
5,angela perez,16,4
6,carolina ninez,3,5
7,sebastian penia,7,4
8,hernan garcia,17,8
9,valentina alvarez,16,9
10,diego gutierrez,9,11
11,veronica niniez,22,9
12,ricardo gonzalez,25,12
13,camilo martinez,20,1
14,julian garcia,9,10
15,monica penia,11,3
16,carolina pena,19,10
17,monica fernandez,0,5
18,camilo toro,15,3
19,carolina moreno,12,9
20,paola alvarez,0,10
21,jesus vargas,19,10
22,laura ramirez,7,11
23,raul herrera,23,2
24,jose castano,23,10
25,jose cardenas,1,6
26,veronica moreno,7,10
27,patricia gonzalez,0,6
28,diego gonzalez,0,9
29,angela fernandez,6,3
30,daniela gutierrez,23,10
31,diego penia,2,11
32,raul niniez,24,5
33,jose lopez,0,1
34,ricardo rodriguez,11,9
35,raul dominguez,23,11
36,alvaro lopez,15,6
37,jesus perez,11,10
38,raul perez,0,6
39,camilo herrera,0,12
40,felipe dominguez,13,4
41,angela cifuentes,6,12
42,mauricio toro,3,1
43,raul moreno,7,9
44,claudia castano,1,2
45,felipe gutierrez,3,6
46,benjamin castano,22,8
47,natalia garcia,2,5
48,daniela cardenas,24,6
49,hernan ramirez,16,8
50,monica cardenas,11,6
51,mauricio munioz,0,12
52,jose toro,9,4
53,monica espania,12,8
54,ricardo lopez,24,6
55,maria lopez,11,3
56,mauricio castano,4,1
57,maria rodriguez,8,11
58,patricia sanchez,21,11
59,alvaro gutierrez,12,1
60,andres perez,18,7
61,mauricio perez,14,8
62,mauricio cifuentes,11,12
63,camilo gonzalez,7,5
64,camilo munioz,6,3
65,sebastian vargas,0,3
66,andres munioz,13,12
67,julian perez,6,10
68,jesus martinez,11,9
69,veronica vargas,3,8
70,paola ninez,4,8
71,sebastian rios,24,8
72,julian castano,2,4
73,daniela penia,19,5
74,claudia cardenas,22,6
75,carolina fernandez,9,7
76,daniela herrera,22,1
77,jesus cifuentes,6,5
78,benjamin pena,16,10
79,camilo garcia,8,10
80,paola gonzalez,19,3
81,carolina martinez,1,9
82,felipe vargas,11,2
83,raul sanchez,13,7
84,ricardo pena,12,9
85,raul castano,6,11
86,angela cruz,12,10
87,carolina herrera,0,7
88,veronica sanchez,10,4
89,jose martinez,18,3
90,andres toro,15,6
91,hernan pena,7,4
92,alvaro cardenas,8,1
93,ricardo ramirez,1,3
94,diego alvarez,8,5
95,daniela pena,11,5
96,daniela moreno,2,8
97,carolina gutierrez,10,10
98,alvaro martinez,2,4
99,natalia sanchez,23,10
100,jose niniez,12,10
101,maria fernandez,5,8
102,angela rios,17,1
103,benjamin vargas,20,6
104,maria gonzalez,0,6
105,andres cruz,21,4
106,monica perez,0,8
107,camilo ospina,2,12
108,monica ramirez,11,10
109,sofia moreno,3,1
110,veronica gutierrez,20,7
111,jesus sanchez,11,12
112,mauricio niniez,21,11
113,laura ospina,3,9
114,alvaro penia,24,11
115,alejandro moreno,13,11
116,mauricio espania,20,2
117,julian gutierrez,5,10
118,laura munioz,9,2
119,raul fernandez,12,3
120,andres cardenas,23,8
121,mauricio vargas,3,11
122,natalia cruz,20,5
123,alvaro dominguez,9,5
124,alvaro ramirez,22,1
125,daniela perez,17,12
126,benjamin garcia,9,7
127,ricardo alvarez,13,11
128,jesus rodriguez,0,2
129,diego espania,10,8
130,alejandro ramirez,22,12
131,angela garcia,3,6
132,maria ramirez,7,6
133,claudia perez,8,4
134,sebastian dominguez,3,5
135,benjamin cifuentes,10,10
136,raul castanio,17,2
137,maria garcia,1,2
138,natalia munioz,14,12
139,laura martinez,3,9
140,monica niniez,22,12
141,natalia toro,25,4
142,paola ospina,16,12
143,angela toro,21,6
144,claudia toro,20,8
145,valentina herrera,12,5
146,paola vargas,9,10
147,felipe herrera,0,11
148,jose fernandez,13,1
149,mauricio lopez,8,8
150,patricia cardenas,17,4
151,jesus ramirez,19,6
152,hernan herrera,0,9
153,valentina pena,21,11
154,diego niniez,19,4
155,paola gutierrez,16,4
156,veronica castanio,11,4
157,claudia sanchez,14,2
158,monica toro,13,10
159,camilo dominguez,0,4
160,felipe garcia,21,3
161,carolina castanio,13,1
162,diego rodriguez,10,3
163,veronica ospina,4,8
164,natalia perez,10,6
165,raul ramirez,14,5
166,camilo espana,4,4
167,ricardo gutierrez,20,5
168,ricardo cruz,16,4
169,jesus herrera,24,2
170,valentina vargas,21,10
171,julian munoz,1,11
172,sofia sanchez,4,5
173,laura niniez,0,1
174,sebastian fernandez,18,8
175,julian cardenas,11,6
176,camilo sanchez,0,3
177,carolina munioz,6,6
178,natalia dominguez,25,1
179,sofia munoz,9,2
180,jose ospina,20,2
181,diego martinez,0,10
182,andres lopez,0,4
183,alejandro rios,4,8
184,camilo castanio,21,8
185,carolina rios,19,1
186,valentina sanchez,24,10
187,hernan alvarez,16,2
188,camilo rodriguez,19,8
189,sofia rodriguez,3,9
190,jesus munoz,18,12
191,sofia ninez,14,9
192,sebastian garcia,1,5
193,veronica espania,7,1
194,laura alvarez,18,8
195,maria dominguez,7,8
196,alvaro cruz,24,4
197,sebastian moreno,2,11
198,sofia castanio,5,8
199,angela niniez,11,1
200,valentina rios,5,1
201,angela castanio,7,4
202,alejandro sanchez,0,2
203,carolina rodriguez,17,6
204,benjamin espana,18,12
205,natalia moreno,17,9
206,claudia ramirez,22,6
207,alvaro vargas,5,3
208,veronica lopez,4,1
209,natalia ninez,20,11
210,ricardo munioz,4,11
211,daniela cruz,2,1
212,maria herrera,8,11
213,diego moreno,16,2
214,andres herrera,14,10
215,julian toro,19,3
