id_vendedor,nombre,experiencia_anios,id_sucursal
68.0,Mónica Domínguez,0.0,13
70.0,Andrés Muñoz,9.0,28
60.0,Inés Castaño,2.0,5
75.0,Raúl Martínez,8.0,2
34.0,Sofía Muñoz,14.0,2
43.0,Mónica Castaño,2.0,8
27.0,Gabriela Peña,18.0,27
69.0,José España,12.0,6
10.0,Inés Rodríguez,9.0,22
77.0,Mónica Domínguez,0.0,12
6.0,María Domínguez,9.0,1
37.0,Julián Rodríguez,7.0,10
53.0,Noelia López,12.0,22
19.0,Benjamín Fernández,19.0,16
45.0,Patricio Niñez,13.0,18
15.0,Julián Rodríguez,4.0,30
48.0,Verónica España,20.0,15
29.0,María Muñoz,16.0,19
8.0,Verónica Domínguez,10.0,4
11.0,María González,5.0,10
22.0,Julián Castaño,11.0,4
9.0,Julián García,9.0,15
46.0,Gabriela López,20.0,15
26.0,Verónica López,4.0,29
32.0,Bárbara Rodríguez,1.0,15
72.0,Estefanía Peña,4.0,4
35.0,Bárbara Rodríguez,19.0,7
28.0,Inés Niñez,19.0,14
49.0,Julián Castaño,12.0,6
31.0,Patricio España,4.0,11
62.0,Andrés Castaño,10.0,26
44.0,Mónica Peña,15.0,27
52.0,Julián Álvarez,7.0,26
79.0,Benjamín Peña,10.0,8
67.0,Sofía Niñez,12.0,24
71.0,José Muñoz,14.0,7
4.0,Noelia Rodríguez,9.0,19
73.0,Noelia Domínguez,16.0,18
42.0,Inés Peña,12.0,5
51.0,Patricio Muñoz,7.0,3
41.0,Bárbara Fernández,8.0,24
40.0,Jesús Domínguez,6.0,20
30.0,Raúl García,1.0,9
56.0,Benjamín Pérez,0.0,15
1.0,Julián López,6.0,21
54.0,Noelia Peña,18.0,24
64.0,Julián Martínez,3.0,26
25.0,Ángela Rodríguez,13.0,4
38.0,Julián González,2.0,18
47.0,Jesús Domínguez,8.0,19
33.0,Andrés García,0.0,10
65.0,Álvaro Domínguez,2.0,1
36.0,Julián González,18.0,23
74.0,Verónica González,9.0,28
14.0,Mónica Álvarez,4.0,1
3.0,Estefanía Peña,19.0,25
63.0,Verónica Rodríguez,5.0,13
58.0,Estefanía Rodríguez,16.0,24
55.0,Ángela López,5.0,30
61.0,Bárbara Fernández,4.0,23
76.0,Noelia Castaño,14.0,28
80.0,Estefanía Peña,2.0,18
24.0,Álvaro Álvarez,5.0,17
39.0,Sofía Pérez,13.0,2
78.0,María García,8.0,30
2.0,Álvaro Niñez,13.0,19
57.0,Raúl Pérez,3.0,30
59.0,Patricio Sánchez,17.0,9
13.0,Bárbara Martínez,18.0,10
16.0,Noelia Niñez,16.0,1
66.0,Estefanía García,13.0,6
20.0,Raúl González,7.0,25
23.0,Julián López,15.0,12
7.0,Mónica Rodríguez,4.0,27
5.0,Gabriela García,5.0,30
17.0,Jesús Sánchez,3.0,1
12.0,Verónica Peña,3.0,21
50.0,Noelia García,8.0,14
21.0,Jesús Domínguez,4.0,21
18.0,María Rodríguez,19.0,30
