id_vendedor,nombre_vendedor,experiencia,sucursal,ventas_realizadas,ingresos_generados,ticket_promedio,comision_total,clientes_atendidos
42.0,julian alvarez,9,sucursal oriente,9,689252.0,76583.55555555556,11269.41,9
79.0,angela gonzalez,24,sucursal sur,5,563580.0,112716.0,12760.439999999999,5
24.0,valentina moreno,2,sucursal aeropuerto,8,535880.0,66985.0,8790.61,8
47.0,monica gonzalez,17,sucursal oriente,7,506349.0,72335.57142857143,15493.67,7
44.0,sebastian vargas,22,sucursal el poblado,6,504572.0,84095.33333333333,11955.7,6
7.0,alejandro penia,1,sucursal oriente,6,462080.0,77013.33333333333,9269.24,6
30.0,raul lopez,10,sucursal carrera 7,5,461559.0,92311.8,8676.32,5
41.0,diego niniez,1,sucursal industrial,4,444207.0,111051.75,6800.19,4
61.0,sofia munioz,18,sucursal aeropuerto,11,441932.0,40175.63636363636,8407.67,11
95.0,laura fernandez,14,sucursal calle 80,4,440963.0,110240.75,5886.2699999999995,4
71.0,daniela munioz,7,sucursal oriente,4,440256.0,110064.0,7522.129999999999,4
84.0,julian castano,14,sucursal aeropuerto,6,436586.0,72764.33333333333,5914.51,6
68.0,jose cardenas,0,sucursal oriente,6,431340.0,86268.0,10597.42,6
92.0,hernan herrera,13,sucursal occidente,5,430425.0,86085.0,3995.61,5
38.0,valentina alvarez,9,sucursal aeropuerto,4,418733.0,104683.25,9146.48,4
5.0,benjamin sanchez,14,sucursal el poblado,5,418317.0,83663.4,10217.98,5
28.0,raul moreno,23,sucursal aeropuerto,6,414280.0,69046.66666666667,7390.43,6
93.0,raul ramirez,0,sucursal aeropuerto,5,406080.0,81216.0,4053.8500000000004,5
68.0,jose cardenas,0,sucursal norte,3,402820.0,134273.33333333334,9479.66,3
59.0,hernan cifuentes,13,sucursal aeropuerto,5,401978.0,80395.6,8869.95,5
10.0,raul martinez,0,sucursal aeropuerto,7,400604.0,57229.142857142855,12744.97,7
22.0,benjamin rios,14,sucursal aeropuerto,5,397750.0,79550.0,11751.220000000001,5
63.0,ricardo penia,4,sucursal aeropuerto,4,396647.0,99161.75,12538.66,4
42.0,julian alvarez,9,sucursal autopista,4,394297.0,98574.25,7349.29,4
11.0,alejandro fernandez,0,sucursal autopista,3,393047.0,131015.66666666667,5280.9,3
45.0,felipe ospina,7,sucursal aeropuerto,3,387366.0,129122.0,5420.05,3
64.0,jesus ramirez,2,sucursal sur,3,381209.0,127069.66666666667,7295.719999999999,3
67.0,jesus dominguez,11,sucursal sur,5,379904.0,75980.8,10013.09,5
17.0,julian espania,9,sucursal aeropuerto,6,378041.0,63006.833333333336,13143.08,6
52.0,diego martinez,0,sucursal oriente,5,375015.0,75003.0,13621.77,5
40.0,valentina rodriguez,9,sucursal industrial,3,369509.0,123169.66666666667,7711.69,3
54.0,paola dominguez,14,sucursal el poblado,5,369419.0,73883.8,5980.13,5
11.0,alejandro fernandez,0,sucursal sur,4,369319.0,92329.75,6531.23,4
77.0,monica moreno,0,sucursal sur,5,368758.0,73751.6,10541.880000000001,5
76.0,jose lopez,7,sucursal el poblado,8,368471.0,52638.71428571428,13108.31,8
75.0,mauricio pena,1,sucursal aeropuerto,5,361535.0,72307.0,4837.93,5
32.0,jose herrera,22,sucursal sur,3,361378.0,120459.33333333333,8012.29,3
35.0,alejandro lopez,23,sucursal aeropuerto,6,361008.0,60168.0,7516.29,6
37.0,veronica martinez,18,sucursal aeropuerto,5,356232.0,71246.4,5014.98,5
76.0,jose lopez,7,sucursal oriente,3,356007.0,118669.0,1823.59,3
80.0,valentina ninez,25,sucursal sur,6,353226.0,58871.0,9922.64,6
19.0,angela ospina,13,sucursal industrial,4,351489.0,87872.25,6689.6,4
24.0,valentina moreno,2,sucursal sur,3,350991.0,116997.0,8676.11,3
73.0,natalia rios,7,sucursal el poblado,5,350547.0,70109.4,7182.9,5
72.0,sebastian alvarez,1,sucursal centro,3,349699.0,116566.33333333333,6475.82,3
76.0,jose lopez,7,sucursal aeropuerto,4,348706.0,87176.5,8848.94,4
51.0,claudia gutierrez,24,sucursal aeropuerto,7,347914.0,49702.0,7112.4400000000005,7
95.0,laura fernandez,14,sucursal aeropuerto,4,347627.0,86906.75,8487.77,4
51.0,claudia gutierrez,24,sucursal oriente,6,344718.0,57453.0,7342.139999999999,6
86.0,alvaro espana,20,sucursal oriente,4,344355.0,86088.75,5573.0599999999995,4
70.0,julian lopez,9,sucursal sur,3,344014.0,114671.33333333333,7037.139999999999,3
74.0,hernan alvarez,11,sucursal aeropuerto,5,343063.0,68612.6,14759.53,5
28.0,raul moreno,23,sucursal el poblado,5,341074.0,68214.8,5266.4400000000005,5
29.0,maria perez,0,sucursal oriente,4,339821.0,84955.25,4711.92,4
23.0,paola gonzalez,23,sucursal autopista,5,335786.0,67157.2,8840.33,5
14.0,diego dominguez,15,sucursal aeropuerto,6,335033.0,83758.25,11557.77,6
49.0,camilo ninez,1,sucursal industrial,4,333522.0,83380.5,6427.11,4
60.0,ricardo gonzalez,0,sucursal oriente,4,331907.0,82976.75,5409.08,4
97.0,benjamin garcia,16,sucursal el poblado,4,331337.0,82834.25,9373.199999999999,4
48.0,hernan dominguez,2,sucursal aeropuerto,5,326226.0,65245.2,4396.6900000000005,5
16.0,diego cardenas,0,sucursal aeropuerto,4,325789.0,81447.25,8084.8,4
26.0,sebastian lopez,25,sucursal oriente,4,325224.0,81306.0,4748.43,4
8.0,paola dominguez,0,sucursal industrial,3,322983.0,107661.0,8195.81,3
47.0,monica gonzalez,17,sucursal sur,4,322907.0,80726.75,11985.94,4
82.0,laura cifuentes,22,sucursal sur,4,321565.0,80391.25,8514.630000000001,4
52.0,diego martinez,0,sucursal norte,4,321529.0,80382.25,5730.44,4
81.0,alvaro martinez,23,sucursal industrial,7,321419.0,45917.0,9069.53,7
15.0,sebastian rodriguez,1,sucursal aeropuerto,3,321196.0,107065.33333333333,7854.26,3
53.0,angela rodriguez,20,sucursal el poblado,3,312379.0,104126.33333333333,8927.32,3
58.0,diego vargas,9,sucursal oriente,3,311627.0,103875.66666666667,4751.9,3
76.0,jose lopez,7,sucursal centro,2,307450.0,153725.0,8594.65,2
3.0,patricia ramirez,9,sucursal industrial,3,307234.0,102411.33333333333,5261.12,3
74.0,hernan alvarez,11,sucursal el poblado,5,304730.0,60946.0,7959.92,5
41.0,diego niniez,1,sucursal aeropuerto,5,304674.0,60934.8,7485.85,5
95.0,laura fernandez,14,sucursal oriente,5,304089.0,60817.8,8372.99,5
91.0,claudia castano,0,sucursal autopista,3,302332.0,100777.33333333333,9310.84,3
75.0,mauricio pena,1,sucursal industrial,4,299590.0,74897.5,5656.179999999999,4
71.0,daniela munioz,7,sucursal sur,5,299485.0,59897.0,6899.12,5
72.0,sebastian alvarez,1,sucursal industrial,5,298409.0,59681.8,12184.33,5
68.0,jose cardenas,0,sucursal aeropuerto,5,297080.0,59416.0,7214.71,5
94.0,carolina ospina,10,sucursal aeropuerto,3,296373.0,98791.0,4392.5,3
16.0,diego cardenas,0,sucursal sur,5,294814.0,73703.5,6328.96,5
31.0,valentina rios,18,sucursal calle 80,4,294707.0,73676.75,4617.9400000000005,4
55.0,laura fernandez,3,sucursal occidente,3,293618.0,97872.66666666667,6873.56,3
19.0,angela ospina,13,sucursal sur,3,293068.0,97689.33333333333,4325.4400000000005,3
1.0,natalia niniez,17,sucursal industrial,4,292782.0,73195.5,11299.04,4
66.0,jesus lopez,0,sucursal oriente,6,292541.0,58508.2,12644.390000000001,6
93.0,raul ramirez,0,sucursal el poblado,4,292262.0,73065.5,7023.26,4
60.0,ricardo gonzalez,0,sucursal calle 80,2,290735.0,145367.5,7021.93,2
100.0,mauricio fernandez,16,sucursal calle 80,2,290225.0,145112.5,7740.32,2
26.0,sebastian lopez,25,sucursal aeropuerto,4,289935.0,72483.75,3482.3900000000003,4
25.0,angela munioz,14,sucursal oriente,4,289364.0,72341.0,10696.23,4
69.0,carolina garcia,1,sucursal aeropuerto,5,286055.0,57211.0,7244.03,5
91.0,claudia castano,0,sucursal oriente,6,282061.0,47010.166666666664,6518.68,6
66.0,jesus lopez,0,sucursal autopista,3,276157.0,92052.33333333333,4688.97,3
31.0,valentina rios,18,sucursal el poblado,4,273492.0,91164.0,5744.1,4
42.0,julian alvarez,9,sucursal industrial,4,272790.0,68197.5,6572.55,4
39.0,daniela moreno,11,sucursal oriente,4,272608.0,68152.0,2969.77,4
58.0,diego vargas,9,sucursal industrial,2,270964.0,135482.0,6267.110000000001,2
50.0,paola herrera,9,sucursal industrial,4,270061.0,67515.25,5644.67,4
96.0,raul perez,8,sucursal el poblado,3,269692.0,89897.33333333333,2893.53,3
18.0,mauricio garcia,22,sucursal aeropuerto,4,268174.0,67043.5,9350.34,4
86.0,alvaro espana,20,sucursal sur,3,268095.0,89365.0,9157.78,3
95.0,laura fernandez,14,sucursal sur,5,263689.0,52737.8,6054.9,5
73.0,natalia rios,7,sucursal carrera 7,2,262101.0,131050.5,3450.08,2
9.0,diego garcia,7,sucursal industrial,4,261785.0,65446.25,6091.63,4
6.0,patricia dominguez,22,sucursal oriente,5,261100.0,52220.0,4730.12,5
80.0,valentina ninez,25,sucursal el poblado,4,260035.0,65008.75,6111.92,4
11.0,alejandro fernandez,0,sucursal occidente,2,258375.0,129187.5,3925.0499999999997,2
21.0,laura rios,24,sucursal aeropuerto,5,257954.0,51590.8,7736.8099999999995,5
16.0,diego cardenas,0,sucursal oriente,4,256454.0,64113.5,5063.62,4
51.0,claudia gutierrez,24,sucursal el poblado,4,256407.0,64101.75,6222.36,4
58.0,diego vargas,9,sucursal carrera 7,2,255691.0,127845.5,7441.610000000001,2
43.0,patricia alvarez,15,sucursal aeropuerto,2,254816.0,127408.0,1004.82,2
63.0,ricardo penia,4,sucursal el poblado,5,254083.0,50816.6,7507.72,5
27.0,benjamin espana,9,sucursal norte,4,253464.0,63366.0,8746.61,4
62.0,mauricio herrera,19,sucursal calle 80,3,251879.0,83959.66666666667,3707.94,3
59.0,hernan cifuentes,13,sucursal industrial,5,251763.0,62940.75,7623.11,5
77.0,monica moreno,0,sucursal autopista,3,249905.0,83301.66666666667,7530.0599999999995,3
83.0,felipe rodriguez,3,sucursal aeropuerto,3,249801.0,83267.0,4470.77,3
33.0,alvaro fernandez,9,sucursal aeropuerto,3,249515.0,83171.66666666667,5554.71,3
32.0,jose herrera,22,sucursal oriente,4,248783.0,62195.75,7010.25,4
44.0,sebastian vargas,22,sucursal oriente,2,248596.0,124298.0,6829.29,2
85.0,jose munioz,17,sucursal occidente,3,248065.0,82688.33333333333,7962.92,3
76.0,jose lopez,7,sucursal autopista,4,247808.0,61952.0,4836.610000000001,4
